alpha,m,fitting
-1.599999999999999645e+00,1.900000000000003464e+00,5.077922182006888718e-02
-1.499999999999999556e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.799999999999999822e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.299999999999999378e+00,0.000000000000000000e+00
-1.499999999999999556e+00,-1.199999999999999289e+00,2.440656436523299527e-02
-1.499999999999999556e+00,-1.099999999999999201e+00,2.566265113428356850e-02
-1.499999999999999556e+00,-9.999999999999991118e-01,2.651470427906582952e-02
-1.499999999999999556e+00,-8.999999999999990230e-01,2.842669290831525628e-02
-1.499999999999999556e+00,-7.999999999999989342e-01,3.569520073376360875e-02
-1.499999999999999556e+00,-6.999999999999988454e-01,4.366759207373362844e-02
-1.499999999999999556e+00,-5.999999999999987566e-01,5.129599225271212065e-02
-1.499999999999999556e+00,-4.999999999999986677e-01,5.944902434282923337e-02
-1.499999999999999556e+00,-3.999999999999985789e-01,9.249778668220662303e-02
-1.499999999999999556e+00,-2.999999999999984901e-01,9.571136327131925248e-02
-1.499999999999999556e+00,-1.999999999999984013e-01,9.757754671296316185e-02
-1.499999999999999556e+00,-9.999999999999831246e-02,1.410466729796297780e-01
-1.499999999999999556e+00,1.776356839400250465e-15,1.631019933157767388e-01
-1.499999999999999556e+00,1.000000000000018652e-01,1.839203481749308589e-01
-1.499999999999999556e+00,2.000000000000019540e-01,2.038963155224824408e-01
-1.499999999999999556e+00,3.000000000000020428e-01,2.215361153974639563e-01
-1.499999999999999556e+00,4.000000000000021316e-01,1.754230231397714279e-01
-1.499999999999999556e+00,5.000000000000022204e-01,1.408139498575886328e-01
-1.499999999999999556e+00,6.000000000000023093e-01,1.300606834432479209e-01
-1.499999999999999556e+00,7.000000000000023981e-01,1.285235753459426089e-01
-1.499999999999999556e+00,8.000000000000024869e-01,9.457955847612009581e-02
-1.499999999999999556e+00,9.000000000000025757e-01,9.037240670911222962e-02
-1.499999999999999556e+00,1.000000000000002665e+00,8.574894577581977650e-02
-1.499999999999999556e+00,1.100000000000002753e+00,8.097858901720587921e-02
-1.499999999999999556e+00,1.200000000000002842e+00,7.623667042915645287e-02
-1.499999999999999556e+00,1.300000000000002931e+00,7.163184792292591474e-02
-1.499999999999999556e+00,1.400000000000003020e+00,6.722755249860908056e-02
-1.499999999999999556e+00,1.500000000000003109e+00,6.305739816349996418e-02
-1.499999999999999556e+00,1.600000000000003197e+00,5.913575695077060573e-02
-1.499999999999999556e+00,1.700000000000003286e+00,5.546483353538506078e-02
-1.499999999999999556e+00,1.800000000000003375e+00,5.203933016131000872e-02
-1.499999999999999556e+00,1.900000000000003464e+00,4.884949582787520561e-02
-1.399999999999999467e+00,-2.000000000000000000e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.899999999999999911e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.799999999999999822e+00,0.000000000000000000e+00
